gene,null_model,alt_model,species,p,branch
LYZL6,bsA1,bsA,39,0.7606,Great Ape
LYZL6,bsA1,bsA,35,0.691504,Haplorhine
LZIC,bsA1,bsA,12,1,Human
LZIC,bsA1,bsA,41,1,Homo-Pan
LZIC,bsA1,bsA,34,1,Primate
LZIC,bsA1,bsA,39,0.989475,Great Ape
LZIC,bsA1,bsA,35,0.992431,Haplorhine
LZTFL1,bsA1,bsA,12,1,Human
LZTFL1,bsA1,bsA,41,1,Homo-Pan
LZTFL1,bsA1,bsA,34,0.474931,Primate
LZTFL1,bsA1,bsA,39,1,Great Ape
LZTFL1,bsA1,bsA,35,0.441525,Haplorhine
LZTR1,bsA1,bsA,12,1,Human
LZTR1,bsA1,bsA,41,1,Homo-Pan
LZTR1,bsA1,bsA,34,0.985772,Primate
LZTR1,bsA1,bsA,39,1,Great Ape
LZTR1,bsA1,bsA,35,0.026023,Haplorhine
LZTS1,bsA1,bsA,12,1,Human
LZTS1,bsA1,bsA,41,0.998872,Homo-Pan
LZTS1,bsA1,bsA,34,0.759199,Primate
LZTS1,bsA1,bsA,39,1,Great Ape
LZTS1,bsA1,bsA,35,0.826474,Haplorhine
LZTS2,bsA1,bsA,12,1,Human
LZTS2,bsA1,bsA,41,1,Homo-Pan
LZTS2,bsA1,bsA,34,0.552438,Primate
LZTS2,bsA1,bsA,39,1,Great Ape
LZTS2,bsA1,bsA,35,1,Haplorhine
LZTS3,bsA1,bsA,12,0.998404,Human
LZTS3,bsA1,bsA,41,0.998404,Homo-Pan
LZTS3,bsA1,bsA,34,0.924907,Primate
LZTS3,bsA1,bsA,39,1,Great Ape
LZTS3,bsA1,bsA,35,0.998404,Haplorhine
M1AP,bsA1,bsA,12,0.672155,Human
M1AP,bsA1,bsA,41,1,Homo-Pan
M1AP,bsA1,bsA,34,0.998872,Primate
M1AP,bsA1,bsA,39,0.998404,Great Ape
M1AP,bsA1,bsA,35,0.188898,Haplorhine
MAB21L1,bsA1,bsA,12,0.986554,Human
MAB21L1,bsA1,bsA,41,0.909433,Homo-Pan
MAB21L1,bsA1,bsA,34,1,Primate
MAB21L1,bsA1,bsA,39,0.90664,Great Ape
MAB21L1,bsA1,bsA,35,1,Haplorhine
MAB21L2,bsA1,bsA,12,0.989971,Human
MAB21L2,bsA1,bsA,41,1,Homo-Pan
MAB21L2,bsA1,bsA,34,0.978742,Primate
MAB21L2,bsA1,bsA,39,0.998872,Great Ape
MAB21L2,bsA1,bsA,35,1,Haplorhine
MAB21L3,bsA1,bsA,12,1,Human
MAB21L3,bsA1,bsA,41,1,Homo-Pan
MAB21L3,bsA1,bsA,34,1,Primate
MAB21L3,bsA1,bsA,39,1,Great Ape
MAB21L3,bsA1,bsA,35,0.042946,Haplorhine
MAB21L4,bsA1,bsA,12,1,Human
MAB21L4,bsA1,bsA,41,0.343232,Homo-Pan
MAB21L4,bsA1,bsA,34,0.146695,Primate
MAB21L4,bsA1,bsA,39,1,Great Ape
MAB21L4,bsA1,bsA,35,1,Haplorhine
MACC1,bsA1,bsA,12,1,Human
MACC1,bsA1,bsA,41,1,Homo-Pan
MACC1,bsA1,bsA,34,0.924378,Primate
MACC1,bsA1,bsA,39,1,Great Ape
MACC1,bsA1,bsA,35,1,Haplorhine
MACO1,bsA1,bsA,12,1,Human
MACO1,bsA1,bsA,41,1,Homo-Pan
MACO1,bsA1,bsA,34,1,Primate
MACO1,bsA1,bsA,39,1,Great Ape
MACO1,bsA1,bsA,35,1,Haplorhine
MACROD1,bsA1,bsA,12,1,Human
MACROD1,bsA1,bsA,41,1,Homo-Pan
MACROD1,bsA1,bsA,34,1,Primate
MACROD1,bsA1,bsA,39,1,Great Ape
MACROD1,bsA1,bsA,35,1,Haplorhine
MACROD2,bsA1,bsA,12,1,Human
MACROD2,bsA1,bsA,41,1,Homo-Pan
MACROD2,bsA1,bsA,34,0.929877,Primate
MACROD2,bsA1,bsA,39,0.488305,Great Ape
MACROD2,bsA1,bsA,35,1,Haplorhine
MAD1L1,bsA1,bsA,12,0.998404,Human
MAD1L1,bsA1,bsA,41,1,Homo-Pan
MAD1L1,bsA1,bsA,34,0.263368,Primate
MAD1L1,bsA1,bsA,39,0.968555,Great Ape
MAD1L1,bsA1,bsA,35,1,Haplorhine
MAD2L1,bsA1,bsA,12,1,Human
MAD2L1,bsA1,bsA,41,0.997236,Homo-Pan
MAD2L1,bsA1,bsA,34,1,Primate
MAD2L1,bsA1,bsA,39,1,Great Ape
MAD2L1,bsA1,bsA,35,1,Haplorhine
MAD2L1BP,bsA1,bsA,12,1,Human
MAD2L1BP,bsA1,bsA,41,1,Homo-Pan
MAD2L1BP,bsA1,bsA,34,1,Primate
MAD2L1BP,bsA1,bsA,39,0.254516,Great Ape
MAD2L1BP,bsA1,bsA,35,0.774295,Haplorhine
MAD2L2,bsA1,bsA,12,1,Human
MAD2L2,bsA1,bsA,41,1,Homo-Pan
MAD2L2,bsA1,bsA,34,1,Primate
MAD2L2,bsA1,bsA,39,0.997236,Great Ape
MAD2L2,bsA1,bsA,35,1,Haplorhine
MADCAM1,bsA1,bsA,12,1,Human
MADCAM1,bsA1,bsA,41,1,Homo-Pan
MADCAM1,bsA1,bsA,34,0.998046,Primate
MADCAM1,bsA1,bsA,39,1,Great Ape
MADCAM1,bsA1,bsA,35,0.653646,Haplorhine
MADD,bsA1,bsA,12,1,Human
MADD,bsA1,bsA,41,0.99323,Homo-Pan
MADD,bsA1,bsA,34,1,Primate
MADD,bsA1,bsA,39,0.97269,Great Ape
MADD,bsA1,bsA,35,1,Haplorhine
MAEA,bsA1,bsA,12,0.998872,Human
MAEA,bsA1,bsA,41,0.998872,Homo-Pan
MAEA,bsA1,bsA,34,0.998872,Primate
MAEA,bsA1,bsA,39,0.998872,Great Ape
MAEA,bsA1,bsA,35,0.998872,Haplorhine
MAEL,bsA1,bsA,12,1,Human
MAEL,bsA1,bsA,41,0.998872,Homo-Pan
MAEL,bsA1,bsA,34,1,Primate
MAEL,bsA1,bsA,39,1,Great Ape
MAEL,bsA1,bsA,35,0.638537,Haplorhine
MAF,bsA1,bsA,12,1,Human
MAF,bsA1,bsA,41,0.996091,Homo-Pan
MAF,bsA1,bsA,34,1,Primate
MAF,bsA1,bsA,39,1,Great Ape
MAF,bsA1,bsA,35,0.97988,Haplorhine
MAF1,bsA1,bsA,12,1,Human
MAF1,bsA1,bsA,41,1,Homo-Pan
MAF1,bsA1,bsA,34,1,Primate
MAF1,bsA1,bsA,39,1,Great Ape
MAF1,bsA1,bsA,35,0.998872,Haplorhine
MAFA,bsA1,bsA,10,0.838695,Human
MAFA,bsA1,bsA,37,1,Homo-Pan
MAFB,bsA1,bsA,12,1,Human
MAFB,bsA1,bsA,41,1,Homo-Pan
MAFB,bsA1,bsA,34,1,Primate
MAFB,bsA1,bsA,39,0.995778,Great Ape
MAFB,bsA1,bsA,35,0.571034,Haplorhine
MAFF,bsA1,bsA,12,0.597953,Human
MAFF,bsA1,bsA,41,1,Homo-Pan
MAFF,bsA1,bsA,34,1,Primate
MAFF,bsA1,bsA,39,1,Great Ape
MAFF,bsA1,bsA,35,1,Haplorhine
MAFG,bsA1,bsA,12,1,Human
MAFG,bsA1,bsA,49,1,Homo-Pan
MAFG,bsA1,bsA,33,1,Primate
MAFG,bsA1,bsA,47,1,Great Ape
MAFG,bsA1,bsA,34,0.550971,Haplorhine
MAFK,bsA1,bsA,12,1,Human
MAFK,bsA1,bsA,41,1,Homo-Pan
MAFK,bsA1,bsA,34,1,Primate
MAFK,bsA1,bsA,39,1,Great Ape
MAFK,bsA1,bsA,35,1,Haplorhine
MAG,bsA1,bsA,12,1,Human
MAG,bsA1,bsA,41,1,Homo-Pan
MAG,bsA1,bsA,34,1,Primate
MAG,bsA1,bsA,39,1,Great Ape
MAG,bsA1,bsA,35,0.046702,Haplorhine
MAGEA10,bsA1,bsA,11,0.503911,Human
MAGEA10,bsA1,bsA,39,1,Homo-Pan
MAGEA10,bsA1,bsA,32,1,Primate
MAGEA10,bsA1,bsA,37,1,Great Ape
MAGEA10,bsA1,bsA,33,0.621325,Haplorhine
MAGEA11,bsA1,bsA,28,0.005766,Primate
MAGEA11,bsA1,bsA,11,1,Human
MAGEA11,bsA1,bsA,35,0.269092,Homo-Pan
MAGEA11,bsA1,bsA,33,0.632629,Great Ape
MAGEA11,bsA1,bsA,29,1,Haplorhine
MAGEA4,bsA1,bsA,11,1,Human
MAGEA4,bsA1,bsA,40,1,Homo-Pan
MAGEA4,bsA1,bsA,33,0.902588,Primate
MAGEA4,bsA1,bsA,38,0.002028,Great Ape
MAGEA4,bsA1,bsA,34,0.003008,Haplorhine
MAGEA8,bsA1,bsA,27,0.123652,Primate
MAGEA8,bsA1,bsA,10,1,Human
MAGEA8,bsA1,bsA,34,1,Homo-Pan
MAGEA8,bsA1,bsA,32,1,Great Ape
MAGEA8,bsA1,bsA,28,0.076554,Haplorhine
MAGEB1,bsA1,bsA,12,1,Human
MAGEB1,bsA1,bsA,41,1,Homo-Pan
MAGEB1,bsA1,bsA,34,0.654161,Primate
MAGEB1,bsA1,bsA,39,1,Great Ape
MAGEB1,bsA1,bsA,35,1,Haplorhine
MAGEB10,bsA1,bsA,12,0.573566,Human
MAGEB10,bsA1,bsA,41,0.642779,Homo-Pan
MAGEB10,bsA1,bsA,34,1,Primate
MAGEB10,bsA1,bsA,39,0.998872,Great Ape
MAGEB10,bsA1,bsA,35,0.998872,Haplorhine
MAGEB16,bsA1,bsA,9,0.001991,Human
MAGEB16,bsA1,bsA,31,1,Homo-Pan
MAGEB16,bsA1,bsA,24,1,Primate
MAGEB16,bsA1,bsA,29,0.351721,Great Ape
MAGEB16,bsA1,bsA,25,0.374542,Haplorhine
MAGEB17,bsA1,bsA,11,0.959647,Human
MAGEB17,bsA1,bsA,37,1,Homo-Pan
MAGEB17,bsA1,bsA,30,1,Primate
MAGEB17,bsA1,bsA,35,0.4713,Great Ape
MAGEB17,bsA1,bsA,31,0.032862,Haplorhine
MAGEB18,bsA1,bsA,12,1,Human
MAGEB18,bsA1,bsA,41,1,Homo-Pan
MAGEB18,bsA1,bsA,34,1,Primate
MAGEB18,bsA1,bsA,39,1,Great Ape
MAGEB18,bsA1,bsA,35,0.216312,Haplorhine
MAGEB2,bsA1,bsA,12,1,Human
MAGEB2,bsA1,bsA,41,1,Homo-Pan
MAGEB2,bsA1,bsA,34,1,Primate
MAGEB2,bsA1,bsA,39,1,Great Ape
MAGEB2,bsA1,bsA,35,0.622171,Haplorhine
MAGEB3,bsA1,bsA,12,1,Human
MAGEB3,bsA1,bsA,41,1,Homo-Pan
MAGEB3,bsA1,bsA,34,1,Primate
MAGEB3,bsA1,bsA,39,1,Great Ape
MAGEB3,bsA1,bsA,35,0.123328,Haplorhine
MAGEB4,bsA1,bsA,12,1,Human
MAGEB4,bsA1,bsA,41,0.684696,Homo-Pan
MAGEB4,bsA1,bsA,34,0.824981,Primate
MAGEB4,bsA1,bsA,39,1,Great Ape
MAGEB4,bsA1,bsA,35,1,Haplorhine
MAGEB5,bsA1,bsA,11,1,Human
MAGEB5,bsA1,bsA,38,1,Homo-Pan
MAGEB5,bsA1,bsA,31,1,Primate
MAGEB5,bsA1,bsA,36,0.109173,Great Ape
MAGEB5,bsA1,bsA,32,1,Haplorhine
MAGEB6,bsA1,bsA,12,1,Human
MAGEB6,bsA1,bsA,40,0.1737,Homo-Pan
MAGEB6,bsA1,bsA,33,1,Primate
MAGEB6,bsA1,bsA,38,0.056874,Great Ape
MAGEB6,bsA1,bsA,34,0.795024,Haplorhine
MAGEB6B,bsA1,bsA,12,0.869539,Human
MAGEB6B,bsA1,bsA,40,0.306738,Homo-Pan
MAGEB6B,bsA1,bsA,33,0.949811,Primate
MAGEB6B,bsA1,bsA,38,1,Great Ape
MAGEB6B,bsA1,bsA,34,0.998872,Haplorhine
MAGEC2,bsA1,bsA,8,0.149408,Human
MAGEC2,bsA1,bsA,32,0.561714,Homo-Pan
MAGEC2,bsA1,bsA,25,1,Primate
MAGEC2,bsA1,bsA,30,1,Great Ape
MAGEC2,bsA1,bsA,26,1,Haplorhine
MAGEC3,bsA1,bsA,10,0.345812,Human
MAGEC3,bsA1,bsA,37,1,Homo-Pan
MAGEC3,bsA1,bsA,30,0.707856,Primate
MAGEC3,bsA1,bsA,35,1,Great Ape
MAGEC3,bsA1,bsA,31,0.964941,Haplorhine
MAGED1,bsA1,bsA,12,1,Human
MAGED1,bsA1,bsA,41,1,Homo-Pan
MAGED1,bsA1,bsA,34,0.996258,Primate
MAGED1,bsA1,bsA,39,0.996808,Great Ape
MAGED1,bsA1,bsA,35,1,Haplorhine
MAGED2,bsA1,bsA,12,1,Human
MAGED2,bsA1,bsA,41,1,Homo-Pan
MAGED2,bsA1,bsA,34,0.357322,Primate
MAGED2,bsA1,bsA,39,0.99126,Great Ape
MAGED2,bsA1,bsA,35,1,Haplorhine
MAGEE1,bsA1,bsA,10,1,Human
MAGEE1,bsA1,bsA,37,1,Homo-Pan
MAGEE1,bsA1,bsA,30,0.032552,Primate
MAGEE1,bsA1,bsA,35,1,Great Ape
MAGEE1,bsA1,bsA,31,1,Haplorhine
MAGEE2,bsA1,bsA,33,1,Primate
MAGEE2,bsA1,bsA,12,0.463653,Human
MAGEE2,bsA1,bsA,40,0.44399,Homo-Pan
MAGEE2,bsA1,bsA,38,0.479398,Great Ape
MAGEE2,bsA1,bsA,34,1,Haplorhine
MAGEF1,bsA1,bsA,12,1,Human
MAGEF1,bsA1,bsA,41,1,Homo-Pan
MAGEF1,bsA1,bsA,34,1,Primate
MAGEF1,bsA1,bsA,39,1,Great Ape
MAGEF1,bsA1,bsA,35,1,Haplorhine
MAGEH1,bsA1,bsA,12,1,Human
MAGEH1,bsA1,bsA,40,1,Homo-Pan
MAGEH1,bsA1,bsA,33,0.985074,Primate
MAGEH1,bsA1,bsA,38,1,Great Ape
MAGEH1,bsA1,bsA,34,1,Haplorhine
MAGEL2,bsA1,bsA,12,1,Human
MAGEL2,bsA1,bsA,41,0.997477,Homo-Pan
MAGEL2,bsA1,bsA,34,0.992347,Primate
MAGEL2,bsA1,bsA,39,0.995487,Great Ape
MAGEL2,bsA1,bsA,35,1,Haplorhine
MAGI1,bsA1,bsA,12,0.994029,Human
MAGI1,bsA1,bsA,41,1,Homo-Pan
MAGI1,bsA1,bsA,34,0.992431,Primate
MAGI1,bsA1,bsA,39,0.994029,Great Ape
MAGI1,bsA1,bsA,35,0.887783,Haplorhine
MAGI2,bsA1,bsA,12,0.989971,Human
MAGI2,bsA1,bsA,41,1,Homo-Pan
MAGI2,bsA1,bsA,34,1,Primate
MAGI2,bsA1,bsA,39,1,Great Ape
MAGI2,bsA1,bsA,35,0.993044,Haplorhine
MAGI3,bsA1,bsA,12,0.705911,Human
MAGI3,bsA1,bsA,41,1,Homo-Pan
MAGI3,bsA1,bsA,34,0.997743,Primate
MAGI3,bsA1,bsA,39,0.998872,Great Ape
MAGI3,bsA1,bsA,35,0.995487,Haplorhine
MAGIX,bsA1,bsA,12,1,Human
MAGIX,bsA1,bsA,41,0.997477,Homo-Pan
MAGIX,bsA1,bsA,34,0.848947,Primate
MAGIX,bsA1,bsA,39,0.998872,Great Ape
MAGIX,bsA1,bsA,35,0.998872,Haplorhine
MAGOH,bsA1,bsA,12,0.582256,Human
MAGOH,bsA1,bsA,41,1,Homo-Pan
MAGOH,bsA1,bsA,34,1,Primate
MAGOH,bsA1,bsA,39,1,Great Ape
MAGOH,bsA1,bsA,35,1,Haplorhine
MAGOHB,bsA1,bsA,12,0.465534,Human
MAGOHB,bsA1,bsA,41,1,Homo-Pan
MAGOHB,bsA1,bsA,34,0.991115,Primate
MAGOHB,bsA1,bsA,39,1,Great Ape
MAGOHB,bsA1,bsA,35,1,Haplorhine
MAGT1,bsA1,bsA,12,0.998872,Human
MAGT1,bsA1,bsA,41,1,Homo-Pan
MAGT1,bsA1,bsA,34,0.982268,Primate
MAGT1,bsA1,bsA,39,1,Great Ape
MAGT1,bsA1,bsA,35,1,Haplorhine
MAIP1,bsA1,bsA,12,1,Human
MAIP1,bsA1,bsA,41,1,Homo-Pan
MAIP1,bsA1,bsA,34,1,Primate
MAIP1,bsA1,bsA,39,1,Great Ape
MAIP1,bsA1,bsA,35,0.998872,Haplorhine
MAJIN,bsA1,bsA,12,1,Human
MAJIN,bsA1,bsA,41,1,Homo-Pan
MAJIN,bsA1,bsA,34,1,Primate
MAJIN,bsA1,bsA,39,1,Great Ape
MAJIN,bsA1,bsA,35,0.997477,Haplorhine
MAK,bsA1,bsA,12,1,Human
MAK,bsA1,bsA,41,0.98036,Homo-Pan
MAK,bsA1,bsA,34,1,Primate
MAK,bsA1,bsA,39,1,Great Ape
MAK,bsA1,bsA,35,1,Haplorhine
MAK16,bsA1,bsA,12,1,Human
MAK16,bsA1,bsA,41,1,Homo-Pan
MAK16,bsA1,bsA,34,1,Primate
MAK16,bsA1,bsA,39,1,Great Ape
MAK16,bsA1,bsA,35,1,Haplorhine
MAL,bsA1,bsA,11,1,Human
MAL,bsA1,bsA,39,0.996432,Homo-Pan
MAL,bsA1,bsA,32,1,Primate
MAL,bsA1,bsA,37,0.502174,Great Ape
MAL,bsA1,bsA,33,0.98555,Haplorhine
MAL2,bsA1,bsA,12,0.385933,Human
MAL2,bsA1,bsA,41,1,Homo-Pan
MAL2,bsA1,bsA,34,1,Primate
MAL2,bsA1,bsA,39,1,Great Ape
MAL2,bsA1,bsA,35,1,Haplorhine
MALL,bsA1,bsA,11,0.467689,Human
MALL,bsA1,bsA,39,1,Homo-Pan
MALL,bsA1,bsA,32,1,Primate
MALL,bsA1,bsA,37,1,Great Ape
MALL,bsA1,bsA,33,1,Haplorhine
MALRD1,bsA1,bsA,12,0.522726,Human
MALRD1,bsA1,bsA,41,1,Homo-Pan
MALRD1,bsA1,bsA,34,0.998872,Primate
MALRD1,bsA1,bsA,39,0.995778,Great Ape
MALRD1,bsA1,bsA,35,0.998872,Haplorhine
MALT1,bsA1,bsA,12,1,Human
MALT1,bsA1,bsA,41,1,Homo-Pan
MALT1,bsA1,bsA,34,0.997015,Primate
MALT1,bsA1,bsA,39,0.996091,Great Ape
MALT1,bsA1,bsA,35,0.661794,Haplorhine
MAMDC2,bsA1,bsA,12,1,Human
MAMDC2,bsA1,bsA,41,1,Homo-Pan
MAMDC2,bsA1,bsA,34,0.998404,Primate
MAMDC2,bsA1,bsA,39,1,Great Ape
MAMDC2,bsA1,bsA,35,0.880896,Haplorhine
MAMDC4,bsA1,bsA,12,1,Human
MAMDC4,bsA1,bsA,41,0.793628,Homo-Pan
MAMDC4,bsA1,bsA,34,0.927698,Primate
MAMDC4,bsA1,bsA,39,1,Great Ape
MAMDC4,bsA1,bsA,35,0.030751,Haplorhine
MAML1,bsA1,bsA,12,1,Human
MAML1,bsA1,bsA,41,0.997743,Homo-Pan
MAML1,bsA1,bsA,34,1,Primate
MAML1,bsA1,bsA,39,0.998872,Great Ape
MAML1,bsA1,bsA,35,0.998404,Haplorhine
MAML2,bsA1,bsA,12,0.995348,Human
MAML2,bsA1,bsA,41,0.994829,Homo-Pan
MAML2,bsA1,bsA,34,1,Primate
MAML2,bsA1,bsA,39,1,Great Ape
MAML2,bsA1,bsA,35,0.998046,Haplorhine
MAML3,bsA1,bsA,12,1,Human
MAML3,bsA1,bsA,41,1,Homo-Pan
MAML3,bsA1,bsA,34,1,Primate
MAML3,bsA1,bsA,39,1,Great Ape
MAML3,bsA1,bsA,35,0.996091,Haplorhine
MAMLD1,bsA1,bsA,12,1,Human
MAMLD1,bsA1,bsA,41,0.998872,Homo-Pan
MAMLD1,bsA1,bsA,34,1,Primate
MAMLD1,bsA1,bsA,39,0.847274,Great Ape
MAMLD1,bsA1,bsA,35,1,Haplorhine
MAMSTR,bsA1,bsA,12,0.998872,Human
MAMSTR,bsA1,bsA,41,0.998872,Homo-Pan
MAMSTR,bsA1,bsA,34,1,Primate
MAMSTR,bsA1,bsA,39,1,Great Ape
MAMSTR,bsA1,bsA,35,1,Haplorhine
MAN1A1,bsA1,bsA,12,0.997743,Human
MAN1A1,bsA1,bsA,41,1,Homo-Pan
MAN1A1,bsA1,bsA,34,0.997477,Primate
MAN1A1,bsA1,bsA,39,1,Great Ape
MAN1A1,bsA1,bsA,35,0.976442,Haplorhine
MAN1A2,bsA1,bsA,12,1,Human
MAN1A2,bsA1,bsA,41,0.998872,Homo-Pan
MAN1A2,bsA1,bsA,34,0.973374,Primate
MAN1A2,bsA1,bsA,39,1,Great Ape
MAN1A2,bsA1,bsA,35,1,Haplorhine
MAN1B1,bsA1,bsA,12,1,Human
MAN1B1,bsA1,bsA,41,1,Homo-Pan
MAN1B1,bsA1,bsA,34,1,Primate
MAN1B1,bsA1,bsA,39,0.998404,Great Ape
MAN1B1,bsA1,bsA,35,0.061738,Haplorhine
MAN1C1,bsA1,bsA,12,1,Human
MAN1C1,bsA1,bsA,41,0.998872,Homo-Pan
MAN1C1,bsA1,bsA,34,0.998872,Primate
MAN1C1,bsA1,bsA,39,1,Great Ape
MAN1C1,bsA1,bsA,35,1,Haplorhine
MAN2A1,bsA1,bsA,12,0.975934,Human
MAN2A1,bsA1,bsA,41,0.380004,Homo-Pan
MAN2A1,bsA1,bsA,34,1,Primate
MAN2A1,bsA1,bsA,39,1,Great Ape
MAN2A1,bsA1,bsA,35,0.983265,Haplorhine
MAN2A2,bsA1,bsA,12,0.998872,Human
MAN2A2,bsA1,bsA,41,1,Homo-Pan
MAN2A2,bsA1,bsA,34,0.998404,Primate
MAN2A2,bsA1,bsA,39,1,Great Ape
MAN2A2,bsA1,bsA,35,0.938577,Haplorhine
MAN2B1,bsA1,bsA,12,0.778039,Human
MAN2B1,bsA1,bsA,41,1,Homo-Pan
MAN2B1,bsA1,bsA,34,0.998872,Primate
MAN2B1,bsA1,bsA,39,1,Great Ape
MAN2B1,bsA1,bsA,35,0.016591,Haplorhine
MAN2B2,bsA1,bsA,12,1,Human
MAN2B2,bsA1,bsA,41,0.998872,Homo-Pan
MAN2B2,bsA1,bsA,34,1,Primate
MAN2B2,bsA1,bsA,39,1,Great Ape
MAN2B2,bsA1,bsA,35,1,Haplorhine
MAN2C1,bsA1,bsA,12,0.998872,Human
MAN2C1,bsA1,bsA,41,1,Homo-Pan
MAN2C1,bsA1,bsA,34,0.996432,Primate
MAN2C1,bsA1,bsA,39,0.997743,Great Ape
MAN2C1,bsA1,bsA,35,1,Haplorhine
MANBA,bsA1,bsA,12,1,Human
MANBA,bsA1,bsA,41,0.997743,Homo-Pan
MANBA,bsA1,bsA,34,0.477677,Primate
MANBA,bsA1,bsA,39,1,Great Ape
MANBA,bsA1,bsA,35,1,Haplorhine
MANEA,bsA1,bsA,11,0.779642,Human
MANEA,bsA1,bsA,40,1,Homo-Pan
MANEA,bsA1,bsA,33,1,Primate
MANEA,bsA1,bsA,38,1,Great Ape
MANEA,bsA1,bsA,34,0.998872,Haplorhine
MANEAL,bsA1,bsA,12,1,Human
MANEAL,bsA1,bsA,41,1,Homo-Pan
MANEAL,bsA1,bsA,34,1,Primate
MANEAL,bsA1,bsA,39,0.614036,Great Ape
MANEAL,bsA1,bsA,35,1,Haplorhine
MANF,bsA1,bsA,12,0.994358,Human
MANF,bsA1,bsA,41,0.998404,Homo-Pan
MANF,bsA1,bsA,34,0.997743,Primate
MANF,bsA1,bsA,39,1,Great Ape
MANF,bsA1,bsA,35,1,Haplorhine
MANSC1,bsA1,bsA,12,1,Human
MANSC1,bsA1,bsA,41,1,Homo-Pan
MANSC1,bsA1,bsA,34,0.21824,Primate
MANSC1,bsA1,bsA,39,0.998872,Great Ape
MANSC1,bsA1,bsA,35,0.540843,Haplorhine
MANSC4,bsA1,bsA,11,1,Human
MANSC4,bsA1,bsA,40,0.378752,Homo-Pan
MANSC4,bsA1,bsA,33,1,Primate
MANSC4,bsA1,bsA,38,0.967364,Great Ape
MANSC4,bsA1,bsA,34,1,Haplorhine
MAOA,bsA1,bsA,12,1,Human
MAOA,bsA1,bsA,41,1,Homo-Pan
MAOA,bsA1,bsA,34,1,Primate
MAOA,bsA1,bsA,39,0.935752,Great Ape
MAOA,bsA1,bsA,35,1,Haplorhine
MAOB,bsA1,bsA,12,1,Human
MAOB,bsA1,bsA,41,1,Homo-Pan
MAOB,bsA1,bsA,34,0.678408,Primate
MAOB,bsA1,bsA,39,1,Great Ape
MAOB,bsA1,bsA,35,0.998872,Haplorhine
MAP1A,bsA1,bsA,12,0.991556,Human
MAP1A,bsA1,bsA,41,0.662473,Homo-Pan
MAP1A,bsA1,bsA,34,1,Primate
MAP1A,bsA1,bsA,39,1,Great Ape
MAP1A,bsA1,bsA,35,0.010475,Haplorhine
MAP1B,bsA1,bsA,12,0.992182,Human
MAP1B,bsA1,bsA,41,1,Homo-Pan
MAP1B,bsA1,bsA,34,0.992953,Primate
MAP1B,bsA1,bsA,39,1,Great Ape
MAP1B,bsA1,bsA,35,1,Haplorhine
MAP1LC3A,bsA1,bsA,12,1,Human
MAP1LC3A,bsA1,bsA,41,1,Homo-Pan
MAP1LC3A,bsA1,bsA,34,1,Primate
MAP1LC3A,bsA1,bsA,39,1,Great Ape
MAP1LC3A,bsA1,bsA,35,1,Haplorhine
MAP1LC3C,bsA1,bsA,12,1,Human
MAP1LC3C,bsA1,bsA,39,1,Homo-Pan
MAP1LC3C,bsA1,bsA,32,0.366242,Primate
MAP1LC3C,bsA1,bsA,37,0.995778,Great Ape
MAP1LC3C,bsA1,bsA,33,1,Haplorhine
MAP1S,bsA1,bsA,12,0.997236,Human
MAP1S,bsA1,bsA,39,0.998404,Homo-Pan
MAP1S,bsA1,bsA,32,0.078893,Primate
MAP1S,bsA1,bsA,37,1,Great Ape
MAP1S,bsA1,bsA,33,8e-06,Haplorhine
MAP2,bsA1,bsA,12,0.998404,Human
MAP2,bsA1,bsA,41,1,Homo-Pan
MAP2,bsA1,bsA,34,1,Primate
MAP2,bsA1,bsA,39,1,Great Ape
MAP2,bsA1,bsA,35,0.998404,Haplorhine
MAP2K1,bsA1,bsA,12,1,Human
MAP2K1,bsA1,bsA,41,1,Homo-Pan
MAP2K1,bsA1,bsA,34,1,Primate
MAP2K1,bsA1,bsA,39,1,Great Ape
MAP2K1,bsA1,bsA,35,1,Haplorhine
MAP2K2,bsA1,bsA,12,1,Human
MAP2K2,bsA1,bsA,41,1,Homo-Pan
MAP2K2,bsA1,bsA,34,1,Primate
MAP2K2,bsA1,bsA,39,0.998872,Great Ape
MAP2K2,bsA1,bsA,35,1,Haplorhine
MAP2K3,bsA1,bsA,12,0.998872,Human
MAP2K3,bsA1,bsA,41,1,Homo-Pan
MAP2K3,bsA1,bsA,34,1,Primate
MAP2K3,bsA1,bsA,39,0.984904,Great Ape
MAP2K3,bsA1,bsA,35,1,Haplorhine
MAP2K4,bsA1,bsA,12,0.760175,Human
MAP2K4,bsA1,bsA,41,1,Homo-Pan
MAP2K4,bsA1,bsA,34,1,Primate
MAP2K4,bsA1,bsA,39,1,Great Ape
MAP2K4,bsA1,bsA,35,1,Haplorhine
MAP2K6,bsA1,bsA,12,1,Human
MAP2K6,bsA1,bsA,41,0.541879,Homo-Pan
MAP2K6,bsA1,bsA,34,1,Primate
MAP2K6,bsA1,bsA,39,1,Great Ape
MAP2K6,bsA1,bsA,35,1,Haplorhine
MAP2K7,bsA1,bsA,12,0.995487,Human
MAP2K7,bsA1,bsA,41,1,Homo-Pan
MAP2K7,bsA1,bsA,34,0.995487,Primate
MAP2K7,bsA1,bsA,39,1,Great Ape
MAP2K7,bsA1,bsA,35,1,Haplorhine
MAP3K1,bsA1,bsA,12,0.694148,Human
MAP3K1,bsA1,bsA,41,0.995348,Homo-Pan
